Iteration = 100	 Error = 2.283711 

Iteration = 200	 Error = 2.120661 

Iteration = 300	 Error = 2.047847 

Iteration = 400	 Error = 2.010291 

Iteration = 500	 Error = 2.001331 

Iteration = 600	 Error = 1.994113 

Iteration = 700	 Error = 1.976555 

Iteration = 800	 Error = 1.963761 

Iteration = 900	 Error = 1.957973 

Iteration = 1000	 Error = 1.919176 

Iteration = 1100	 Error = 1.916785 

Iteration = 1200	 Error = 1.867054 

Iteration = 1300	 Error = 1.834039 

Iteration = 1400	 Error = 1.813678 

Iteration = 1500	 Error = 1.822775 

Iteration = 1600	 Error = 1.771323 

Iteration = 1700	 Error = 1.749799 

Iteration = 1800	 Error = 1.765737 

Iteration = 1900	 Error = 1.724854 

Iteration = 2000	 Error = 1.709356 

Iteration = 2100	 Error = 1.680381 

Iteration = 2200	 Error = 1.667469 

Iteration = 2300	 Error = 1.636418 

Iteration = 2400	 Error = 1.599636 

Iteration = 2500	 Error = 1.559542 

Iteration = 2600	 Error = 1.520882 

Iteration = 2700	 Error = 1.458357 

Iteration = 2800	 Error = 1.430848 

Iteration = 2900	 Error = 1.345352 

Iteration = 3000	 Error = 1.329682 

Iteration = 3100	 Error = 1.255789 

Iteration = 3200	 Error = 1.225153 

Iteration = 3300	 Error = 1.216649 

Iteration = 3400	 Error = 1.187981 

Iteration = 3500	 Error = 1.183099 

Iteration = 3600	 Error = 1.156522 

Iteration = 3700	 Error = 1.179955 

Iteration = 3800	 Error = 1.187238 

Iteration = 3900	 Error = 1.140329 

Iteration = 4000	 Error = 1.137273 

